Value,Red,Green,Blue,Alpha
0.0,0.0,0.0,0.0,1.0
0.00392156862745098,1.4612601406671644e-10,0.003611962078139186,0.0,1.0
0.00784313725490196,2.9225202813343287e-10,0.007223924156278372,0.0,1.0
0.011764705882352941,4.3837794505563465e-10,0.010835886932909489,0.0,1.0
0.01568627450980392,5.845039452445633e-10,0.014447848312556744,0.0,1.0
0.0196078431372549,7.306300009446431e-10,0.018059810623526573,0.0,1.0
0.023529411764705882,8.767558346001181e-10,0.021671773865818977,0.0,1.0
0.027450980392156862,1.022881890300198e-9,0.025283735245466232,0.0,1.0
0.03137254901960784,1.1690075574222192e-9,0.028895696625113487,0.0,1.0
0.03529411764705882,1.3149605848639112e-9,0.03250338137149811,0.0,1.0
0.0392156862745098,1.4608821929940063e-9,0.036110296845436096,0.0,1.0
0.043137254901960784,1.6074372943819526e-9,0.039732858538627625,0.0,1.0
0.047058823529411764,1.7535268792556735e-9,0.0432380735874176,0.0,1.0
0.050980392156862744,1.8996513251323677e-9,0.04656960815191269,0.0,1.0
0.054901960784313725,2.0457766591874815e-9,0.049754798412323,0.0,1.0
0.058823529411764705,2.191900660974966e-9,0.052809830754995346,0.0,1.0
0.06274509803921569,2.3380264391192895e-9,0.05574825778603554,0.0,1.0
0.06666666666666667,2.4841515511297985e-9,0.0585813969373703,0.0,1.0
0.07058823529411765,2.6302759970064926e-9,0.061318881809711456,0.0,1.0
0.07450980392156863,2.7764019971954212e-9,0.06396904587745667,0.0,1.0
0.0784313725490196,2.922527775339745e-9,0.06653902679681778,0.0,1.0
0.08235294117647059,3.068652443261044e-9,0.06903508305549622,0.0,1.0
0.08627450980392157,3.2147782214053677e-9,0.0714627355337143,0.0,1.0
0.09019607843137255,3.3609039995496914e-9,0.07382684201002121,0.0,1.0
0.09411764705882353,3.5070295556494102e-9,0.07613171637058258,0.0,1.0
0.09803921568627451,3.653155111749129e-9,0.07838122546672821,0.0,1.0
0.10196078431372549,3.799280889893453e-9,0.08057884126901627,0.0,1.0
0.10588235294117647,3.9454062239485665e-9,0.08272767812013626,0.0,1.0
0.10980392156862745,4.09153200209289e-9,0.08483057469129562,0.0,1.0
0.11372549019607843,4.237657780237214e-9,0.08689010888338089,0.0,1.0
0.11764705882352941,4.383783558381538e-9,0.0889086127281189,0.0,1.0
0.12156862745098039,4.529909336525861e-9,0.09088823944330215,0.0,1.0
0.12549019607843137,4.676035114670185e-9,0.09283095598220825,0.0,1.0
0.12941176470588237,4.822160892814509e-9,0.09473858028650284,0.0,1.0
0.13333333333333333,4.968287115048042e-9,0.09661276638507843,0.0,1.0
0.13725490196078433,5.114412449103156e-9,0.09845506399869919,0.0,1.0
0.1411764705882353,5.26053822724748e-9,0.10026691108942032,0.0,1.0
0.1450980392156863,5.4066640053918036e-9,0.10204962641000748,0.0,1.0
0.14901960784313725,5.552789783536127e-9,0.10380445420742035,0.0,1.0
0.15294117647058825,5.698916005769661e-9,0.10553254932165146,0.0,1.0
0.1568627450980392,5.8450417839139845e-9,0.10723497718572617,0.0,1.0
0.1607843137254902,5.99119287514327e-9,0.10891304910182953,0.0,1.0
0.16470588235294117,6.137406582951144e-9,0.11056811362504959,0.0,1.0
0.16862745098039217,6.283563447340157e-9,0.11219970136880875,0.0,1.0
0.17254901960784313,4.3152117541467305e-6,0.1138072982430458,5.663079605255916e-7,1.0
0.17647058823529413,1.6314683307427913e-5,0.11539913713932037,2.1588618892565137e-6,1.0
0.1803921568627451,1.669462835707236e-5,0.1169949322938919,2.2091430764703546e-6,1.0
0.1843137254901961,1.299806717725005e-5,0.11859428137540817,1.7183434692924493e-6,1.0
0.18823529411764706,9.68692620517686e-6,0.12019652873277664,1.2786988463631133e-6,1.0
0.19215686274509805,1.2922075256938115e-5,0.12180084735155106,1.707947035356483e-6,1.0
0.19607843137254902,1.682338370301295e-5,0.1234080120921135,2.225612888651085e-6,1.0
0.2,1.7812781152315438e-5,0.12501844763755798,2.356776121814619e-6,1.0
0.20392156862745098,1.592545595485717e-5,0.12663213908672333,2.1061064217064995e-6,1.0
0.20784313725490197,1.1316841664665844e-5,0.12824903428554535,1.494235334575933e-6,1.0
0.21176470588235294,8.71436350280419e-6,0.1298685222864151,1.1486383755254792e-6,1.0
0.21568627450980393,1.4550629202858545e-5,0.1314898282289505,1.9231213173043216e-6,1.0
0.2196078431372549,1.7659996956354007e-5,0.1331143081188202,2.3356583369604778e-6,1.0
0.2235294117647059,1.807753142202273e-5,0.1347419172525406,2.3909030915092444e-6,1.0
0.22745098039215686,1.5838901163078845e-5,0.1363726407289505,2.093590182994376e-6,1.0
0.23137254901960785,1.13178448373219e-5,0.13800638914108276,1.4933265219951863e-6,1.0
0.23529411764705882,9.07639059732901e-6,0.1396426409482956,1.1956340131291654e-6,1.0
0.23921568627450981,1.4739705875399522e-5,0.14128077030181885,1.9471465293463552e-6,1.0
0.24313725490196078,1.7887039575725794e-5,0.14292192459106445,2.3647078251087805e-6,1.0
0.24705882352941178,1.8553486370365135e-5,0.14456607401371002,2.4529765596525976e-6,1.0
0.25098039215686274,1.677448017289862e-5,0.14621320366859436,2.2166552753333235e-6,1.0
0.2549019607843137,1.2587303899636026e-5,0.14786329865455627,1.6606926465101424e-6,1.0
0.25882352941176473,9.277199751522858e-6,0.14951597154140472,1.2211422699692775e-6,1.0
0.2627450980392157,1.3382832548813894e-5,0.1511705368757248,1.765886963767116e-6,1.0
0.26666666666666666,1.7300502804573625e-5,0.15282779932022095,2.285680466229678e-6,1.0
