Value,Red,Green,Blue,Alpha
0.0,0.0,0.0,0.0,1.0
0.00392156862745098,0.0007480598287656903,0.0024685964453965425,0.0074805947951972485,1.0
0.00784313725490196,0.0014961196575313807,0.004937192890793085,0.014961189590394497,1.0
0.011764705882352941,0.002244030823931098,0.007405298296362162,0.022440297529101372,1.0
0.01568627450980392,0.0029913263861089945,0.009871372953057289,0.029913252219557762,1.0
0.0196078431372549,0.00374015630222857,0.012342510744929314,0.03740154579281807,1.0
0.023529411764705882,0.0044828737154603004,0.014793477021157742,0.04485781118273735,1.0
0.027450980392156862,0.005208939779549837,0.017189493402838707,0.05211345851421356,1.0
0.03137254901960784,0.0059183258563280106,0.019530467689037323,0.05919502675533295,1.0
0.03529411764705882,0.0066110314801335335,0.021816393360495567,0.06612943857908249,1.0
0.0392156862745098,0.007288224995136261,0.024051129817962646,0.0729098916053772,1.0
0.043137254901960784,0.007951086387038231,0.026238571852445602,0.07953229546546936,1.0
0.047058823529411764,0.008599798195064068,0.028379319235682487,0.08601465076208115,1.0
0.050980392156862744,0.009234701283276081,0.0304739847779274,0.09237109124660492,1.0
0.054901960784313725,0.009869181551039219,0.03252753987908363,0.09857175499200821,1.0
0.058823529411764705,0.010493961162865162,0.034537214785814285,0.10466136038303375,1.0
0.06274509803921569,0.011084290221333504,0.036510445177555084,0.11064017564058304,1.0
0.06666666666666667,0.011680175550282001,0.03844580799341202,0.11650584638118744,1.0
0.07058823529411765,0.012245831079781055,0.04035161808133125,0.12226374447345734,1.0
0.07450980392156863,0.012815571390092373,0.042186737060546875,0.12782810628414154,1.0
0.0784313725490196,0.013347405008971691,0.04396812617778778,0.13322924077510834,1.0
0.08235294117647059,0.013873906806111336,0.0456962026655674,0.13846524059772491,1.0
0.08627450980392157,0.014390434138476849,0.04737559333443642,0.14355230331420898,1.0
0.09019607843137255,0.01488164346665144,0.049011461436748505,0.1485110968351364,1.0
0.09411764705882353,0.015355028212070465,0.05060610920190811,0.15334635972976685,1.0
0.09803921568627451,0.015832440927624702,0.05216020718216896,0.1580541580915451,1.0
0.10196078431372549,0.01629972644150257,0.053677745163440704,0.16265100240707397,1.0
